Name,Value
Schedule,Mouse PAL Habituation 1 v2
Environment,Chamber1 [1]
Date/Time,27/01/2018 10:09:16
Database,Fmr1_PAL_2018
SessionId,1
Index,7
Version,N/A
MachineName,CI24689-2
SGuid,
Animal ID,341-blue
Application_Version,ABET II Touch 2.20.6316.18149
Max_Number_Trials,0
Max_Schedule_Time,1200
Schedule_Description,Initial habituation to the box
Schedule_Start_Time,2018-01-27T10:09:24.240

----------
Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
0,28,Input Definition,(SYSTEM),,0,5,Tray #1,0,BIRBeam #1,1,FIRBeam #1,2,RightFIRBeam #1,3,FeederFault #1,4
0,28,Input Definition,(SYSTEM),,0,1,FeederReport #1,5,,,,,,,,
0,27,Output Definition,(SYSTEM),,0,5,HouseLight #1,0,TrayLight #1,1,Feeder #1,2,Sound_On #1,3,White_Noise_Off #1,4
0,27,Output Definition,(SYSTEM),,0,3,Sound #1,5,Sound #2,6,Sound #3,7,,,,
0,16,Variable Event,_Schedule_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,_Trial_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,_Trial_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,reward_beam,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Reward_First,,0,1,Value,0,,,,,,,,
0,16,Variable Event,reward_to_screen,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Screen_beam,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Screen_Centre,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Screen_First,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Screen_left,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Screen_right,,0,1,Value,0,,,,,,,,
0,16,Variable Event,screen_to_reward,,0,1,Value,0,,,,,,,,
0,37,Image List Definition,Background,,0,1,Bussey Mouse Operant Mode 3 x 1 x low,4,,,,,,,,
0,36,List Array - Write,Background,,0,1,Image 1,1,,,,,,,,
0,17,List Change - Set,Background,,0,2,Index,1,Value,1,,,,,,
0,0,Schedule Startup Event,(SYSTEM),,0,0,,,,,,,,,,
0,29,Timer Event,_Schedule_Timer,,0,1,Value,0,,,,,,,,
0,21,Group Change Event,Group Change,,0,1,New Group,1,,,,,,,,
0.004,1,Condition Event,Set Blank Images,,1,0,,,,,,,,,,
0.004,32,Whisker - Display Image,Bussey Mouse Operant Mode 3 x 1 x low,Background,1,2,Position,1,Image 1,0,,,,,,
0.004,32,Whisker - Display Image,Bussey Mouse Operant Mode 3 x 1 x low,Background,1,2,Position,2,Image 1,0,,,,,,
0.004,32,Whisker - Display Image,Bussey Mouse Operant Mode 3 x 1 x low,Background,1,2,Position,3,Image 1,0,,,,,,
0.004,21,Group Change Event,Group Change,,1,1,New Group,2,,,,,,,,
4.228,38,Input Transition On Event,FIRBeam #1,,2,0,,,,,,,,,,
4.229,1,Condition Event,Screen Beam Break 1,,2,0,,,,,,,,,,
4.229,16,Variable Event,Screen_beam,,2,1,Value,1,,,,,,,,
4.229,21,Group Change Event,Group Change,,2,1,New Group,4,,,,,,,,
9.802,39,Input Transition Off Event,FIRBeam #1,,4,0,,,,,,,,,,
