Name,Value
Schedule,Mouse Pairwise Habituation 2 v2
Environment,Chamber4 [4]
Date/Time,27/07/2018 09:49:48
Database,Fmr1_VD_2018
SessionId,260
Index,32
Version,N/A
MachineName,CI24689-2
SGuid,
Animal ID,537-green
Application_Version,ABET II Touch 18.04.17
Max_Number_Trials,0
Max_Schedule_Time,900
Schedule_Start_Time,2018-07-27T09:49:48.777

----------
Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
0,28,Input Definition,(SYSTEM),,0,5,Tray #1,0,BIRBeam #1,1,FIRBeam #1,2,RightFIRBeam #1,3,FeederFault #1,4
0,28,Input Definition,(SYSTEM),,0,1,FeederReport #1,5,,,,,,,,
0,27,Output Definition,(SYSTEM),,0,5,HouseLight #1,0,TrayLight #1,1,Feeder #1,2,Sound_On #1,3,White_Noise_Off #1,4
0,27,Output Definition,(SYSTEM),,0,3,Sound #1,5,Sound #2,6,Sound #3,7,,,,
0,16,Variable Event,_Schedule_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,_Trial_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,_Trial_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,A1Sound1,,0,1,Value,0,,,,,,,,
0,16,Variable Event,A2Sound2,,0,1,Value,1,,,,,,,,
0,16,Variable Event,A3Sound3,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Acclimatisation_time,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Acclimatisation_timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Delay_Time,,0,1,Value,10,,,,,,,,
0,16,Variable Event,Delay_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Feeder_Pulse_Time,,0,1,Value,280,,,,,,,,
0,16,Variable Event,Houselight_Normally_On,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Prime_Feed_Time,,0,1,Value,6000,,,,,,,,
0,16,Variable Event,Pulse_Tone,,0,1,Value,1,,,,,,,,
0,16,Variable Event,Tone_Duration,,0,1,Value,1000,,,,,,,,
0,37,Image List Definition,Background,,0,1,Bussey Mouse Operant Mode 2 x 1 x low,3,,,,,,,,
0,36,List Array - Write,Background,,0,1,Image 1,1,,,,,,,,
0,17,List Change - Set,Background,,0,2,Index,1,Value,1,,,,,,
0,0,Schedule Startup Event,(SYSTEM),,0,0,,,,,,,,,,
0,38,Input Transition On Event,FIRBeam #1,,0,0,,,,,,,,,,
0,29,Timer Event,_Schedule_Timer,,0,1,Value,0,,,,,,,,
0.005,1,Condition Event,Adjust Sound Level 2,,0,0,,,,,,,,,,
0.005,3,Output On Event,Sound #2,,0,0,,,,,,,,,,
0.005,21,Group Change Event,Group Change,,0,1,New Group,1,,,,,,,,
0.01,1,Condition Event,Set Blank Images,,1,0,,,,,,,,,,
0.01,32,Whisker - Display Image,Bussey Mouse Operant Mode 2 x 1 x low,Background,1,2,Position,1,Image 1,0,,,,,,
0.01,32,Whisker - Display Image,Bussey Mouse Operant Mode 2 x 1 x low,Background,1,2,Position,2,Image 1,0,,,,,,
0.01,3,Output On Event,White_Noise_Off #1,,1,0,,,,,,,,,,
0.01,1,Condition Event,Adjust Sound Level 2,,1,0,,,,,,,,,,
